id,follower_id,followed_id,created_at,updated_at
564,79,235,2012-10-29 15:57:22.753462,2012-10-29 15:57:22.753462
565,5,235,2012-10-29 16:22:36.070894,2012-10-29 16:22:36.070894
566,172,5,2012-10-29 22:07:25.787684,2012-10-29 22:07:25.787684
567,172,79,2012-10-29 22:07:26.991094,2012-10-29 22:07:26.991094
568,79,227,2012-10-29 22:08:43.920293,2012-10-29 22:08:43.920293
569,79,228,2012-10-29 22:08:45.423864,2012-10-29 22:08:45.423864
570,79,220,2012-10-29 22:08:46.618161,2012-10-29 22:08:46.618161
571,79,222,2012-10-29 22:08:48.007545,2012-10-29 22:08:48.007545
572,79,224,2012-10-29 22:08:49.17755,2012-10-29 22:08:49.17755
573,79,232,2012-10-29 22:08:51.281801,2012-10-29 22:08:51.281801
574,79,229,2012-10-29 22:08:52.509945,2012-10-29 22:08:52.509945
575,79,233,2012-10-29 22:09:00.404356,2012-10-29 22:09:00.404356
576,79,234,2012-10-29 22:09:02.144462,2012-10-29 22:09:02.144462
577,79,236,2012-10-29 22:09:04.136911,2012-10-29 22:09:04.136911
578,79,237,2012-10-29 22:09:05.234906,2012-10-29 22:09:05.234906
579,79,161,2012-10-29 22:09:06.343619,2012-10-29 22:09:06.343619
580,79,168,2012-10-29 22:09:07.294594,2012-10-29 22:09:07.294594
581,79,169,2012-10-29 22:09:08.435578,2012-10-29 22:09:08.435578
582,79,179,2012-10-29 22:09:09.670788,2012-10-29 22:09:09.670788
583,79,174,2012-10-29 22:09:11.054738,2012-10-29 22:09:11.054738
584,79,177,2012-10-29 22:09:12.170802,2012-10-29 22:09:12.170802
585,79,181,2012-10-29 22:09:13.244135,2012-10-29 22:09:13.244135
586,79,186,2012-10-29 22:09:14.820535,2012-10-29 22:09:14.820535
587,79,187,2012-10-29 22:09:15.797894,2012-10-29 22:09:15.797894
588,79,178,2012-10-29 22:09:16.941517,2012-10-29 22:09:16.941517
589,79,191,2012-10-29 22:09:19.018668,2012-10-29 22:09:19.018668
590,79,194,2012-10-29 22:09:19.054112,2012-10-29 22:09:19.054112
591,79,192,2012-10-29 22:09:20.219064,2012-10-29 22:09:20.219064
592,79,200,2012-10-29 22:09:20.779552,2012-10-29 22:09:20.779552
593,79,208,2012-10-29 22:09:21.961256,2012-10-29 22:09:21.961256
594,79,217,2012-10-29 22:09:23.090526,2012-10-29 22:09:23.090526
